"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Aruba",0.000806415375942985,0.000852754184355338,0.000859517293671767,0.00206644150118033,0.00227683736011386,0.00220067116121451,0.00220067116121451,0.00220067116121451,0.00220067116121451
"Afghanistan",0.000242553508401218,0.000267421432592892,0.000303583383916389,0.000339897497587827,0.000398241606188433,0.000451320102666486,0.000453981916238536,0.000442631392849584,0.000457814396085211
"Angola",0.00036378662164525,0.000403836539946972,0.00045948081248895,0.00056537581322101,0.000935849399543434,0.00111090941755738,0.00111435351695412,0.00107981402300141,0.00191441306459625
"Anguilla",0.000514318293426186,0.000478348258184269,0.000464004639070481,0.000579975487198681,0.000881352287251502,0.00105981284286827,0.00106336909811944,0.00102401257026941,0.000991255976259708
"Albania",0.0135073824738133,0.0149639287811457,0.0156745948610181,0.0165407544462847,0.0196985020872434,0.0271044150565048,0.0324075421489471,0.032360815196013,0.0322189854020823
"Aland",0.000115164104499854,0.000137143972096965,0.00015067403728608,0.000152611053636065,0.000163274820806691,0.000164609075000044,0.000150353869685205,0.000143079450936057,0.000147008071508026
"Andorra",0.0308581657707691,0.0326037749648094,0.0308419935405254,0.0293325401842594,0.0321720536798239,0.0321706619113684,0.0326169710606337,0.0315394844859838,0.0310367543250322
"United Arab Emirates",0.00195394954424224,0.00194219079974406,0.00182279556505193,0.00161527151465223,0.00111396074814961,0.00112010629616717,0.00339752486360248,0.0214596980300278,0.00885088876360096
"Argentina",0.000294802968844886,0.000648765870220032,0.00141035610830294,0.00190772985898657,0.00163948704887649,0.00223918927264339,0.0023100452890341,0.00242883729241262,0.00384848253001101
"Armenia",0.0096525942689578,0.00999546121546211,0.0102687885810155,0.0123374905793193,0.0134380638662081,0.0149317994655576,0.0147656741207286,0.0134241999274729,0.0133660585359813
"American Samoa",0.0113908334169537,0.0126536674797535,0.0150867812335491,0.0174834104254842,0.0215819636359811,0.0197323593311012,0.0197323593311012,0.0241721393540502,0.0243398658931255
"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmore and Cartier Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Southern and Antarctic Lands",0,0,0,0,0,0,0,0,0
