años,primn,primf,range,urban,secdn,c3ann,c4ann,c3per,c4per,c3nfx,pastr
1895,0.365222692,0.338539248,0.001548222,0.088055312,0.002486109,0.052843914,0.033095546,0.002018207,0.000280055,0.037592473,0.020292049
1910,0.308445221,0.303496435,0.00218706,0.120970975,0.002059286,0.070245817,0.038478147,0.002163151,0.000361492,0.045131978,0.031623608
1925,0.275433748,0.270253721,0.002798833,0.134800339,0.002148536,0.07998651,0.040764229,0.002215044,0.000408944,0.048962424,0.037268159
1940,0.232167729,0.237098838,0.00332269,0.173581982,0.001999438,0.078320546,0.041534987,0.00210727,0.000409355,0.04871916,0.0477545
1955,0.202205627,0.213364503,0.004493239,0.194701771,0.001597831,0.081768755,0.043303409,0.002471057,0.0004169,0.051598597,0.054364371
1970,0.199183931,0.198026278,0.006057384,0.180331302,0.013606603,0.082990537,0.043820839,0.002295718,0.000462329,0.0525639,0.050881774
1985,0.197810628,0.182474059,0.001548222,0.175033796,0.018674677,0.082464454,0.043565085,0.002373164,0.000496821,0.052406395,0.049441502
2000,0.193632991,0.164743589,0.009468833,0.175173616,0.027669492,0.076916087,0.040843789,0.002626857,0.000542067,0.050724497,0.048971533
2015,0.187270849,0.154885188,0.01169448,0.187033616,0.032911476,0.067388696,0.035837996,0.00235404,0.000486309,0.044645272,0.051851358
