años,primn,primf,range,urban,secdn,c3ann,c4ann,c3per,c4per,c3nfx,pastr
1895,0.661269238,0.070585421,0.000297326,0.111355271,0.047021551,0.008861036,0.023836125,0.005672016,0.001660896,0.005575538,0.021603854
1910,0.626897745,0.063506425,0.000417565,0.132398086,0.048827378,0.011062162,0.029976359,0.007429277,0.00218478,0.007103623,0.026455164
1925,0.61005375,0.059190793,0.000447437,0.130211803,0.068401706,0.011932082,0.030750333,0.007783166,0.002332506,0.007095672,0.024584329
1940,0.563730834,0.053497179,0.000594686,0.167249293,0.064912359,0.014301199,0.03602866,0.008915187,0.002722639,0.008422324,0.030418838
1955,0.435059318,0.042209088,0.001062753,0.269045594,0.053707499,0.019823142,0.05145181,0.012600332,0.003830662,0.011876008,0.050895781
1970,0.366897001,0.033257079,0.002014616,0.316504518,0.051274881,0.022808177,0.059731875,0.014584189,0.004421968,0.013716728,0.06350404
1985,0.353574539,0.026639395,0.000297326,0.31804511,0.049195501,0.024813045,0.065397092,0.015935907,0.004822238,0.014961997,0.068081311
2000,0.324923921,0.01897799,0.005392773,0.336788953,0.045263718,0.026624524,0.070537877,0.017175811,0.00518903,0.01610861,0.074325846
2015,0.317266927,0.01227504,0.007175278,0.340765093,0.059287257,0.023479433,0.062408713,0.015186004,0.004584206,0.01422692,0.075069978
