"años","primn","primf","range","urban","secdn","c3ann","c4ann","c3per","c4per","c3nfx","pastr"
1895,0.400385716942703,0.001265238,0.00363870013645738,0.0035377778426037,0.0226309035855605,0.107744588328963,0.0282015025805362,0.0787475603287343,5.47649334498137e-09,0.0042233825619936,0.108434548355215
1910,0.375355800803827,0.000961233,0.00491801114534346,0.00438994903270868,0.0206896590217821,0.121096528726028,0.0314531745088166,0.0880100937111962,6.24072294975085e-09,0.00474003432785813,0.112746046300103
1925,0.35906425858436,0.000778988,0.00543290634350931,0.00424414956442988,0.0219004576555358,0.130847912488448,0.0333669543476953,0.0937720017015085,6.64634289252445e-09,0.0051109804781671,0.110293186934535
1940,0.319479494171889,0.000595355,0.00656313840610694,0.00413605130111976,0.0186514013595752,0.154983819679351,0.0390319141581477,0.110020473281074,7.77111947581015e-09,0.00603691114668677,0.114235780993991
1955,0.305079056970066,0.000414999,0.00793110627330387,0.00369298356775433,0.0253583900575038,0.166067206155078,0.0422072736003918,0.118695057744832,8.3866347094521e-09,0.00645202957038723,0.103838421897741
1970,0.300368163598461,0.000258003,0.00962992177324352,0.00531344428528003,0.0365009063531702,0.167989805122191,0.0430282007381763,0.120780117394795,8.66095795535497e-09,0.00651730111431345,0.091507029018486
1985,0.295403578933202,0.000132961,0.00363870013645738,0.00581316892242083,0.0362901837370187,0.170809319607128,0.0437376290396629,0.12278538023052,8.99905487694057e-09,0.00662307965013437,0.090286293617932
2000,0.29261656749208,4.92e-05,0.0158396435117316,0.0117322189232988,0.0466657317810546,0.135050145632011,0.0345605805462391,0.0970425386818088,7.2361231383295e-09,0.00523943610012493,0.14230614067571
2015,0.281646751250666,2.27e-05,0.0201205661955345,0.0177365511688519,0.0796188052940075,0.0940793197155379,0.0240531512413358,0.0675559374939359,5.09420936575479e-09,0.0036532900566717,0.18572896858994
