"años","primn","primf","range","urban","secdn","c3ann","c4ann","c3per","c4per","c3nfx","pastr"
1895,1.40665657027615e-10,4.05e-10,0.0128766399596384,0.0800286407695455,0.0505478736265229,0.232129804057298,0.00555176141728939,0.000468407804891527,0,0.0129720033436828,0.433698930082108
1910,1.40665657027615e-10,4.05e-10,0.0161246519600556,0.0949202905975784,0.0269314992904525,0.254332626734352,0.00604104082291793,0.000513165617363951,0,0.014126639129984,0.451034185635524
1925,1.40665657027615e-10,4.05e-10,0.0176242805744109,0.0950222110322363,0.0275409854409897,0.257780261435268,0.00609805904280437,0.000520326473400127,0,0.014266506066528,0.437957734604358
1940,1.40665657027615e-10,4.05e-10,0.0188851381182156,0.0900553917032644,0.0344414136790892,0.255659505115916,0.00602743143071488,0.000516548738032141,0,0.0141056311455182,0.415964483769628
1955,1.40665657027615e-10,4.05e-10,0.0205732994278216,0.0893968087727036,0.0387665910449802,0.257044645109819,0.0060386702627376,0.000519500561421443,0,0.0141355721343018,0.393610598131536
1970,1.40665657027615e-10,4.05e-10,0.0219759267569688,0.0844497960103559,0.0519074502853899,0.251405323726908,0.00588802505200226,0.000508570366252086,0,0.0137868257105623,0.354042230577234
1985,1.40665657027615e-10,4.05e-10,0.0128766399596384,0.0883049173352755,0.0590548478818815,0.239743869981706,0.00559698328691465,0.000485429072696749,0,0.0131095471499199,0.341285069495303
2000,1.40665657027615e-10,4.05e-10,0.0275981745203107,0.0916503444318128,0.0818570945651159,0.209685862205602,0.00487948573914731,0.000424705868970031,0,0.0114321170008448,0.322085617022982
2015,1.40665657027615e-10,4.05e-10,0.0300773904485923,0.0891558145304421,0.0776314905750642,0.220150465771293,0.00510846748945408,0.000445915510951809,0,0.0119713354939783,0.308434894499839
