"años","primn","primf","range","urban","secdn","c3ann","c4ann","c3per","c4per","c3nfx","pastr"
1895,0,0.018190261,0.104775376617908,0,0,0.0270321518182755,0.000575197977013886,0.240979164838791,0.000575197977013886,1.95944256375924e-08,0.00232273526489735
1910,0,0.017668314,0.148315235972404,0,0,0.0251004099845886,0.000534093822352588,0.223758563399315,0.000534093822352588,3.88289542740949e-08,0.00262672430835664
1925,0,0.016884111,0.203011929988861,0,0,0.0237684212625027,0.000505751406308264,0.211884513497353,0.000505751406308264,5.20916643154123e-08,0.00317781441845
1940,0,0.016019961,0.285099595785141,1.49121458401839e-26,0,0.020990053191781,0.000446632475359365,0.187116637825966,0.000446632475359365,7.975611282518e-08,0.00239511020481586
1955,0,0.014743119,0.351632058620453,1.26217744835362e-29,0,0.0166440308094025,0.000354156538378447,0.148373857140541,0.000354156538378447,1.23029835208399e-07,0.00182283134199679
1970,0,0.012205619,0.4998998939991,0,0,0.00772724580019712,0.000164422584930435,0.0688848271965981,0.000164422584930435,2.11815020634276e-07,0.0015970830572769
1985,0,0.010394746,0.104775376617908,1.57667718604019e-27,0,0.00606800196692348,0.000129116699099541,0.0540934354066849,0.000129116699099541,2.28336247687366e-07,0.00104586291126907
2000,0,0.006146257,0.638077259063721,0,0,0.00731686735525727,0.000155690431711264,0.0652264952659607,0.000155690431711264,2.15901195588231e-07,1.38583487796495e-07
2015,0,0.00403182,0.657488524913788,0,0,0.00684827612712979,0.000145719604915939,0.061049222946167,0.000145719604915939,2.20566988673454e-07,1.0759734581078e-23
