"años","primn","primf","range","urban","secdn","c3ann","c4ann","c3per","c4per","c3nfx","pastr"
1895,0.0464346993788583,0.291446114,0.00382791069243935,0.0218866153441411,0.00213404905377881,0.0620040798289755,0.00245442746820678,0.0044282795412835,0.000161796063709956,0.00348832020264753,0.06703705190132
1910,0.0453504470997299,0.26332678,0.00555820134054868,0.0241795623058655,0.00210045691770779,0.0717691777007838,0.00285223677988805,0.00512196592463799,0.000190704673429795,0.00403237894471318,0.0731588587481359
1925,0.0443245885239926,0.230927208,0.00696190236312431,0.0263212582571303,0.00201958639274308,0.0831032569722264,0.00331239933367691,0.00593941589318544,0.000226514783270919,0.00466871532099678,0.0766657854111199
1940,0.0432607156551437,0.196913832,0.00865187230098238,0.0274122571383341,0.00192824437434088,0.0980201321875192,0.00392193623196248,0.00702679534832149,0.000271866519259801,0.00550607092816637,0.0777251856379976
1955,0.0429122763013603,0.166916395,0.0115474214585486,0.0176733011156221,0.00309188987609517,0.113637729073029,0.00456172348026183,0.00817619601579679,0.000321960199217027,0.0063799355463031,0.0498151275690102
1970,0.0428969627678,0.139774669,0.017445972084534,0.00616528310673595,0.00508331003080782,0.116187957107376,0.00467937396146473,0.00838801986424488,0.000329008705110882,0.00652273125532271,0.0160732523357767
1985,0.0428952226131562,0.123884092,0.00382791069243935,0.00377192558704157,0.00606037216994985,0.10746110148572,0.00433975483253219,0.00777832315850823,0.000303271690802903,0.00603181036974201,0.00928654428359448
2000,0.0428952226131562,0.113782349,0.0275025949023966,0.00313220765798413,0.00685028632060433,0.0975849323217444,0.00394902463005476,0.0070778336363626,0.000274075132502857,0.00547577042257129,0.00727086233122379
2015,0.0428724113531065,0.108297284,0.029264480972529,5.68917232060419e-20,0.00779995460538132,0.0903530513999431,0.00366310090785536,0.00656483968630878,0.000253451729619251,0.00506837490526768,5.00393567149072e-20
