"años","primn","primf","range","urban","secdn","c3ann","c4ann","c3per","c4per","c3nfx","pastr"
1895,0.378861831402922,0.066676644,0.00181561670068807,0.00609466559833564,0.0844649929554185,0.205007546818609,0.0626025804338517,0.0153293310931218,0.00763726141210423,0.0777984018824281,0.0101061310272896
1910,0.372624672726569,0.061768785,0.00207384534639051,0.00591224612103983,0.0840084207756419,0.209442154517928,0.0640230299801745,0.0156773236114256,0.00779817736685859,0.079537027847004,0.00950910824252136
1925,0.359436570563526,0.056922019,0.00208064024813621,0.00623299313982549,0.0815756583704262,0.218744017584946,0.0669513304377165,0.0163949316848456,0.00813703559114468,0.0831518363075653,0.00989378020224543
1940,0.327054209788925,0.04967812,0.00207694445376884,0.00731613428224977,0.074556613515825,0.241414673281398,0.07401908704734,0.0181254974446358,0.00896678262425923,0.0919146779353174,0.0117393839999317
1955,0.287976975505648,0.038697515,0.00217550584356818,0.0113151193727773,0.0658756488232494,0.264176726060025,0.0811168247617599,0.0198579848074155,0.00979846636803815,0.100687454818293,0.0198202395484225
1970,0.25844560329862,0.023631105,0.00276926657881235,0.015175984943242,0.06025760946662,0.279442467345785,0.0859138923190699,0.0210282418394434,0.0103529575920755,0.1066120462317,0.0271640305394319
1985,0.249644691786331,0.006119437,0.00181561670068807,0.0141872613826521,0.0596591282428436,0.286346283009121,0.0881225381119637,0.0215652253738397,0.0105960253468017,0.109316143425504,0.0249224656151238
2000,0.242879382517732,0.001123422,0.00562474239720524,0.013205498398568,0.059635713412213,0.291229818798453,0.0897342498378939,0.0219506577506322,0.0107669954669587,0.111280472689237,0.0230079051454216
2015,0.235238354722756,0.000531445,0.00759892326719983,0.0124599709918478,0.0636885271132789,0.293403743481999,0.0904845997882953,0.0221259579318497,0.0108400233191774,0.112197800047566,0.0217083580634934
