"años","primn","primf","range","urban","secdn","c3ann","c4ann","c3per","c4per","c3nfx","pastr"
1895,0.538870955230789,0.267285957,0.000137622871971186,0.03777746753106,0.000854576591784788,0.0126535940562668,0.001226981018534,0.0037274340348665,3.17533627443859e-08,0.0020055671357148,0.00518435940871727
1910,0.530090172595175,0.255539233,0.000202365283072048,0.0451986999301168,0.000973236645089807,0.0152447918691392,0.00146449764742793,0.00446062771322539,2.00056986388175e-08,0.00238379822776243,0.00730497892136673
1925,0.520697498290388,0.240103826,0.000250443848524534,0.0535884849056965,0.000932312365984976,0.0177730783647762,0.00170430020081457,0.00518225156143655,1.74067364158955e-08,0.00274996869846355,0.00929267165831228
1940,0.506684653426206,0.222875909,0.000325947146664865,0.0662819872119143,0.00087912687390058,0.0217314882640432,0.00208250928810061,0.00632139582298082,1.52057666198673e-08,0.00333733655922963,0.011985847826178
1955,0.481371228575598,0.203980743,0.000484044728612105,0.0890410148214225,0.00113640455355135,0.0287691407874479,0.00277120694522526,0.00836740278128088,1.71132590119007e-08,0.00440290720338067,0.0165979981429671
1970,0.454071501003088,0.189472994,0.000806468438002523,0.114633988090825,0.00113557525044567,0.0345194409869161,0.00334982105007969,0.010046164548499,2.54080455837916e-08,0.00526507338825589,0.0216143024342462
1985,0.435989649572513,0.178641057,0.000137622871971186,0.134240711744712,0.00331674173532114,0.0309450545528108,0.00301881235385986,0.00900880195497844,2.49857211284424e-08,0.00470836391232238,0.025836850126003
2000,0.434149761033371,0.163873972,0.00163077044766023,0.134398043960965,0.0113395685047461,0.0187096651452783,0.00183640459289299,0.00544766475947893,2.97258451043147e-08,0.00283720736183661,0.0273332596134549
2015,0.424569337320735,0.134683661,0.00206493068419242,0.144516227925749,0.0130326401471179,0.0154439172069957,0.00152117306366543,0.00449317373219076,4.36203285440192e-08,0.00233456262218542,0.0297921111809779
